	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107
15	0	0	0	1	0	5	0	2	84	0	0	0	0	0	72	1784	1	0	12	1	0	0	0	0	7	0	1	0	0	0	0	0	1	5	20	0	3	1	1	0	5	2	0	7	7	7	1	1	0	1	0	0	0	0	0	0	0	55	1	0	0	3	0	0	0	24	0	23	0	0	2	19	4	14	0	2	180	0	0	0	0	1	0	0	0	0	2	13	0	19	7	0	0	0	0	7	0	0	0	5	0	6	0	0	0	0	49	0
16	0	0	0	0	0	0	0	0	13	0	0	0	0	0	17	1	122	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	7	0	0	1	11	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0
17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	10	0	2	197	1	0	0	0	0	511	12	5	0	764	1	0	0	1	0	121	0	13	0	1	0	0	3	4	1	80	0	6	3	0	1	154	16	0	99	2	0	7	0	2	6	0	0	0	1	0	0	0	29	0	0	0	1	0	0	0	351	0	150	0	0	15	269	2	333	57	4	11	0	0	0	3	3	0	0	0	0	3	109	1	62	22	0	0	2	1	29	5	12	0	16	0	3	0	0	0	0	9	0
19	0	0	0	0	0	0	1	0	7	0	0	0	0	0	5	1	0	0	1	18	0	0	0	0	0	0	1	0	0	0	0	0	0	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	1	4	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	1	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	1	0	7	0	5	390	0	0	0	0	0	898	7	3	0	121	0	0	0	0	0	1650	1	11	0	0	0	0	7	15	0	69	1	6	2	1	0	76	18	0	281	1	0	6	0	0	1	0	0	0	0	0	0	0	25	0	0	0	2	0	0	1	912	0	405	0	2	9	235	1	145	12	0	14	0	0	0	3	0	0	0	0	0	17	143	0	86	31	0	0	2	0	48	9	17	2	27	0	1	0	3	0	0	7	0
